PC=C986 OP: BVS C98D(REL)  A:00 X:00 Y:00, P:27, S:FB
PC=C988 OP: BCC C98D(REL)  A:00 X:00 Y:00, P:27, S:FB
PC=C98A OP: JMP C991(ABS)  A:00 X:00 Y:00, P:27, S:FB
PC=C991 OP: NOP ----(IMP)  A:00 X:00 Y:00, P:27, S:FB
PC=C992 OP: SEC ----(IMP)  A:00 X:00 Y:00, P:27, S:FB
PC=C993 OP: CLV ----(IMP)  A:00 X:00 Y:00, P:27, S:FB
PC=C994 OP: LDA 009F(IMM)  A:00 X:00 Y:00, P:27, S:FB
PC=C996 OP: BEQ C9A1(REL)  A:9F X:00 Y:00, P:A5, S:FB
PC=C998 OP: BPL C9A1(REL)  A:9F X:00 Y:00, P:A5, S:FB
PC=C99A OP: BVS C9A1(REL)  A:9F X:00 Y:00, P:A5, S:FB
PC=C99C OP: BCC C9A1(REL)  A:9F X:00 Y:00, P:A5, S:FB
PC=C99E OP: JMP C9A5(ABS)  A:9F X:00 Y:00, P:A5, S:FB
PC=C9A5 OP: NOP ----(IMP)  A:9F X:00 Y:00, P:A5, S:FB
PC=C9A6 OP: CLC ----(IMP)  A:9F X:00 Y:00, P:A5, S:FB
PC=C9A7 OP: BIT 0001(ZPG)  A:9F X:00 Y:00, P:A4, S:FB
PC=C9A9 OP: LDA 0000(IMM)  A:9F X:00 Y:00, P:E4, S:FB
PC=C9AB OP: BNE C9B6(REL)  A:00 X:00 Y:00, P:66, S:FB
PC=C9AD OP: BMI C9B6(REL)  A:00 X:00 Y:00, P:66, S:FB
PC=C9AF OP: BVC C9B6(REL)  A:00 X:00 Y:00, P:66, S:FB
PC=C9B1 OP: BCS C9B6(REL)  A:00 X:00 Y:00, P:66, S:FB
PC=C9B3 OP: JMP C9BA(ABS)  A:00 X:00 Y:00, P:66, S:FB
PC=C9BA OP: NOP ----(IMP)  A:00 X:00 Y:00, P:66, S:FB
PC=C9BB OP: BIT 0001(ZPG)  A:00 X:00 Y:00, P:66, S:FB
PC=C9BD OP: LDA 0040(IMM)  A:00 X:00 Y:00, P:E6, S:FB
PC=C9BF OP: CMP 0040(IMM)  A:40 X:00 Y:00, P:64, S:FB
PC=C9C1 OP: BMI C9CC(REL)  A:40 X:00 Y:00, P:67, S:FB
PC=C9C3 OP: BCC C9CC(REL)  A:40 X:00 Y:00, P:67, S:FB
PC=C9C5 OP: BNE C9CC(REL)  A:40 X:00 Y:00, P:67, S:FB
PC=C9C7 OP: BVC C9CC(REL)  A:40 X:00 Y:00, P:67, S:FB
PC=C9C9 OP: JMP C9D0(ABS)  A:40 X:00 Y:00, P:67, S:FB
PC=C9D0 OP: NOP ----(IMP)  A:40 X:00 Y:00, P:67, S:FB
PC=C9D1 OP: CLV ----(IMP)  A:40 X:00 Y:00, P:67, S:FB
PC=C9D2 OP: CMP 003F(IMM)  A:40 X:00 Y:00, P:27, S:FB
PC=C9D4 OP: BEQ C9DF(REL)  A:40 X:00 Y:00, P:25, S:FB
PC=C9D6 OP: BMI C9DF(REL)  A:40 X:00 Y:00, P:25, S:FB
PC=C9D8 OP: BCC C9DF(REL)  A:40 X:00 Y:00, P:25, S:FB
PC=C9DA OP: BVS C9DF(REL)  A:40 X:00 Y:00, P:25, S:FB
PC=C9DC OP: JMP C9E3(ABS)  A:40 X:00 Y:00, P:25, S:FB
PC=C9E3 OP: NOP ----(IMP)  A:40 X:00 Y:00, P:25, S:FB
PC=C9E4 OP: CMP 0041(IMM)  A:40 X:00 Y:00, P:25, S:FB
PC=C9E6 OP: BEQ C9EF(REL)  A:40 X:00 Y:00, P:A4, S:FB
PC=C9E8 OP: BPL C9EF(REL)  A:40 X:00 Y:00, P:A4, S:FB
PC=C9EA OP: BPL C9EF(REL)  A:40 X:00 Y:00, P:A4, S:FB
PC=C9EC OP: JMP C9F3(ABS)  A:40 X:00 Y:00, P:A4, S:FB
PC=C9F3 OP: NOP ----(IMP)  A:40 X:00 Y:00, P:A4, S:FB
PC=C9F4 OP: LDA 0080(IMM)  A:40 X:00 Y:00, P:A4, S:FB
PC=C9F6 OP: CMP 0000(IMM)  A:80 X:00 Y:00, P:A4, S:FB
